dt,switch,src,dst,pktCount,byteCount,duration,duration_nsec,total_duration,flows,pktrate,pairflow,protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,label,packetins,byteperflow,packetperflow
3065,5,10.0.0.177,10.0.0.46,187,49612,72,4594,142,4,27.096993485026836,1,ICMP,3946,11122,15733,31.301095666264665,24.818612110748237,24.469823941482154,0,5,824,17
3066,3,10.0.0.241,10.0.0.165,131,43272,380,4905,893,3,63.948045866841554,1,ICMP,48867,26025,16620,4.00355576190407,33.40312851939304,60.389293640697964,1,4,986,14
3067,5,10.0.0.235,10.0.0.98,499,25806,481,2428,426,5,57.33159891627438,3,ICMP,26057,31701,34519,49.49247804907668,25.293884299254156,21.269539141770437,0,10,961,16
3068,4,10.0.0.58,10.0.0.138,393,13903,165,526,727,2,66.63800485699788,3,TCP,1734,32100,45058,14.80992214443264,20.994978759082265,52.71844181289653,1,6,755,3
3069,5,10.0.0.135,10.0.0.71,151,3056,312,3553,773,5,97.88832343932646,3,ICMP,4377,23270,24792,32.14821859813489,21.434921731031555,50.8267436140978,1,3,346,6
3070,3,10.0.0.64,10.0.0.4,438,12420,305,147,301,5,43.9019217484447,1,UDP,40656,38791,33187,29.576285217921733,36.22206814650179,64.81983145231221,0,1,978,12
3071,5,10.0.0.25,10.0.0.243,33,37795,151,402,994,2,33.077308022040626,4,ICMP,12135,18210,9392,41.68550397714028,23.12438422198531,33.76899474699844,0,0,175,9
3072,9,10.0.0.21,10.0.0.99,206,34968,306,187,649,4,11.45632793497747,1,TCP,41233,17499,19493,41.71071388903623,46.4311238770326,22.517579933353726,0,1,634,13
3073,8,10.0.0.66,10.0.0.50,397,6011,121,4511,962,6,86.86171376060139,5,TCP,12015,47633,23915,45.72356713763245,5.16973324922949,88.44683465373858,0,8,576,1
3074,5,10.0.0.208,10.0.0.225,291,6636,188,643,895,8,4.3579295029914,5,UDP,24249,34509,1954,20.6455014642166,32.411313720063404,51.968266909686335,0,9,655,9
3075,5,10.0.0.232,10.0.0.23,40,35809,365,4546,945,3,76.53553942144538,1,TCP,64530,23387,4022,21.64887576336551,32.83337721115721,74.9390097869822,1,0,165,18
3076,5,10.0.0.166,10.0.0.134,310,32301,311,825,465,2,14.997689149997306,1,UDP,52718,16917,26140,19.645695476216225,40.44101347829893,52.4130970587992,0,10,528,19
3077,3,10.0.0.136,10.0.0.169,252,47195,340,2056,524,6,26.077529207433283,2,ICMP,38575,14945,10496,41.76159309474155,40.14341004403611,14.20787123480034,0,2,157,10
3078,5,10.0.0.181,10.0.0.44,449,48066,475,122,940,7,5.284313187305352,2,ICMP,21586,12517,34927,26.23216282652528,45.57189173458031,28.193872399849866,1,2,219,9
3079,4,10.0.0.194,10.0.0.191,376,26494,495,4627,259,6,53.13853663837529,2,UDP,26839,17180,33003,37.494724681116274,42.91761534747224,97.10625324798968,1,3,604,3
3080,10,10.0.0.94,10.0.0.223,260,29460,128,2206,340,3,43.58752101335674,5,TCP,4111,21014,23720,43.54455420233364,19.902545132666525,32.69638034339507,0,10,400,16
3081,7,10.0.0.70,10.0.0.9,222,35575,180,4379,298,6,53.9407514160977,4,UDP,10217,21789,15117,22.303652268501793,31.840351936332834,15.908259113619767,1,4,136,6
3082,2,10.0.0.248,10.0.0.110,420,44092,138,644,236,3,52.583809477535674,2,TCP,63242,44522,28856,2.747297347805726,7.441146056682188,88.05249188593625,1,3,688,3
3083,8,10.0.0.217,10.0.0.138,136,22018,212,2515,862,6,35.5576809958438,4,ICMP,60883,22877,11831,21.221913433434736,24.797434469406635,90.87791441416881,1,0,349,20
3084,1,10.0.0.91,10.0.0.13,407,14634,241,449,757,1,38.648857406066156,3,ICMP,28201,39045,31224,49.23763421731213,44.478542529852,74.67799324800488,1,4,174,3
3085,5,10.0.0.248,10.0.0.203,491,16235,439,2511,179,4,4.012817293854683,3,TCP,10245,42190,35805,5.60229406541729,22.580551977986985,58.83127413231931,1,0,655,2
3086,1,10.0.0.252,10.0.0.196,225,41208,314,4147,231,8,80.69963079740764,1,TCP,32053,10650,24037,49.71004467958167,37.638392656040246,94.97128789026684,0,4,202,18
3087,5,10.0.0.190,10.0.0.253,168,40566,94,3678,326,7,43.2931552503961,4,ICMP,30519,43858,27201,15.490305836076375,30.142751556193616,8.532171319386904,1,2,124,1
3088,10,10.0.0.121,10.0.0.76,104,3743,336,2981,152,1,74.91389447266184,3,UDP,2106,41157,25417,26.582779935238424,27.598129925872296,75.89811983165224,1,8,590,11
3089,1,10.0.0.53,10.0.0.225,119,16015,208,2646,719,8,89.64527099732514,1,TCP,55117,26353,11333,6.938462483942515,20.574049907668453,78.02360690164763,0,6,899,12
3090,3,10.0.0.209,10.0.0.35,236,16350,56,1247,929,2,82.18530607383738,4,TCP,46089,21458,41627,8.925895663062196,20.08932357928609,96.71398902967978,1,9,392,6
3091,6,10.0.0.77,10.0.0.254,131,46082,72,1280,694,10,1.5012460143847375,1,ICMP,11517,17235,9428,20.230516926240316,40.14618558479066,33.3632602126105,1,4,87,12
3092,2,10.0.0.161,10.0.0.142,308,40309,374,3278,105,2,13.06633977718464,4,TCP,55944,44478,33848,2.8478991588421816,43.301454427823074,72.20704434777701,0,8,663,3
3093,7,10.0.0.123,10.0.0.207,12,43163,97,1891,197,8,97.64443601080055,2,ICMP,54880,3132,23178,4.632778139668394,9.862784429037033,8.215772419636306,0,1,449,7
3094,5,10.0.0.57,10.0.0.18,277,18223,97,3003,784,4,13.568755292103672,3,ICMP,15537,43588,6288,19.83716011831595,20.31789366801139,62.75936426104199,0,0,320,19
3095,6,10.0.0.206,10.0.0.191,302,10078,438,645,723,5,89.98892026254242,2,UDP,15,1663,16303,44.542867983737445,15.027625173900082,2.5712202380367692,1,5,745,5
3096,3,10.0.0.24,10.0.0.225,79,28893,432,1096,164,3,46.061703698407534,2,TCP,62338,30180,6150,24.912694407635676,8.714379739411415,54.28518053219129,0,8,353,5
3097,1,10.0.0.146,10.0.0.254,247,19862,472,1010,729,3,99.93452286363178,3,ICMP,43237,45751,24457,42.68992322459084,39.088929300472174,40.07393020378377,1,6,619,6
3098,1,10.0.0.236,10.0.0.41,174,18389,320,1982,795,6,6.138897992878749,2,ICMP,55226,3501,25529,45.808863746929084,15.802044785501051,30.84356713220931,0,9,939,6
3099,6,10.0.0.29,10.0.0.160,31,47059,182,4986,920,1,83.55909941651109,2,ICMP,63851,1702,27316,3.009966410275066,10.731689197863195,75.74318317464696,1,7,996,18
3100,9,10.0.0.66,10.0.0.97,371,34785,158,324,628,9,88.7641887750155,2,UDP,36805,37023,8696,39.683586944045665,34.01847984664125,42.56084623556539,0,10,701,18
3101,4,10.0.0.226,10.0.0.27,453,36538,153,1531,495,4,45.01858509829007,4,TCP,42419,44848,23582,20.318454180659657,27.947716761453,84.96767536545913,0,4,363,4
3102,5,10.0.0.19,10.0.0.36,47,3299,147,4084,306,10,57.12238518146431,4,ICMP,49845,12539,7381,27.387416531254907,6.886665492698882,24.18241198758497,0,2,888,15
3103,3,10.0.0.109,10.0.0.165,197,19913,109,2729,413,9,15.275893659395573,2,TCP,8621,1463,23969,14.726170975705845,11.005400220379418,99.77977432676339,1,4,914,19
3104,2,10.0.0.223,10.0.0.39,284,7539,483,2437,540,3,66.88886990884437,5,TCP,46717,14128,13903,43.479304230584226,21.837836474022374,59.00735122266912,0,6,672,16
3105,2,10.0.0.141,10.0.0.227,417,17429,356,4883,265,10,3.213180577618195,1,UDP,50685,41901,31918,1.0336940915508563,1.10313732416876,15.978282045907669,0,0,154,5
3106,8,10.0.0.144,10.0.0.56,431,35888,329,4833,816,6,77.41093932490087,1,UDP,53817,34713,33379,30.629787455876333,42.74039009032264,96.10037131887941,1,5,207,13
3107,8,10.0.0.28,10.0.0.43,129,19564,134,2745,200,2,56.192807114184234,3,UDP,28510,38777,35339,20.604953886137686,19.74057906517607,4.796623414116031,1,0,523,17
3108,10,10.0.0.9,10.0.0.27,381,10868,205,241,323,8,6.898963120299118,3,TCP,52847,33324,8977,39.71328334862135,18.786448260636078,11.356969031924695,1,8,483,13
3109,10,10.0.0.12,10.0.0.143,17,42712,318,1573,868,6,28.916169717457393,3,ICMP,38245,17962,47813,14.263311416408063,13.347860483717161,18.832749620493495,1,8,538,19
3110,7,10.0.0.66,10.0.0.34,274,11807,486,1458,256,2,95.66795694554078,1,UDP,64528,9999,45267,39.72070544218825,4.092055208979145,66.41908996259288,1,7,279,12
3111,6,10.0.0.19,10.0.0.163,243,38142,400,3558,687,8,13.432324677736215,5,ICMP,20655,29148,44606,38.88153171691075,1.704044303446865,2.8110415503678574,0,6,634,20
3112,10,10.0.0.205,10.0.0.75,405,8903,384,485,143,9,55.75701181531323,1,TCP,63598,29621,25242,7.633646135484471,24.155251818467875,99.71054369207798,1,3,780,9
3113,10,10.0.0.31,10.0.0.152,61,39724,248,3946,257,1,60.007052767389816,5,UDP,52396,45620,6943,39.29058041530971,39.91424777148811,37.56287649767779,1,8,505,10
3114,1,10.0.0.134,10.0.0.28,399,31361,179,429,273,5,68.08618149794133,5,TCP,27552,44649,38770,35.01530276778751,6.649299633250458,34.79628372269169,0,7,560,1
3115,9,10.0.0.230,10.0.0.122,67,15879,114,4737,686,8,34.2966469206793,4,ICMP,16826,7847,4563,29.21418430170949,45.529893368894015,16.195590939892135,1,1,518,13
3116,9,10.0.0.211,10.0.0.166,380,42610,143,1143,582,5,8.238492886185842,3,UDP,52841,8343,47848,19.656117085749873,3.3467093804637416,56.84387042278881,0,3,971,5
3117,6,10.0.0.102,10.0.0.222,89,9199,357,4801,260,7,52.57240733503556,4,TCP,43988,41021,33949,33.17341008831965,6.364389044766748,91.24257111056171,0,4,609,3
3118,6,10.0.0.111,10.0.0.151,204,12957,157,1805,983,1,56.44291924485171,1,ICMP,24007,31437,1590,41.9411693224583,36.633362670590316,66.35299953246465,1,8,217,15
3119,10,10.0.0.198,10.0.0.242,166,21097,392,1728,965,8,71.9270671912955,5,ICMP,38662,10542,33115,8.766322825494207,10.926063870270696,42.565944234869356,1,10,885,2
3120,4,10.0.0.104,10.0.0.50,407,33145,424,4332,786,10,47.67140825288155,1,ICMP,65526,16019,14838,49.66697432790781,27.060670943120833,9.680520890514618,1,3,999,8
3121,10,10.0.0.249,10.0.0.78,85,22698,174,319,995,4,78.76455982417501,2,TCP,61016,42453,33209,38.38983726558024,4.751105052637578,91.49541481390091,1,10,571,14
3122,2,10.0.0.236,10.0.0.65,432,39833,401,587,907,3,21.725581019055376,4,ICMP,25083,34111,30647,18.88033535033688,46.243863135015324,53.02417868987634,0,5,637,1
3123,2,10.0.0.194,10.0.0.170,464,15481,64,2327,740,4,83.10554611298542,1,UDP,7532,27957,30852,25.679118402408093,36.191437325138814,16.243572633173493,0,2,254,17
3124,7,10.0.0.83,10.0.0.198,237,49428,272,4520,986,1,68.85615685276213,3,ICMP,3028,45549,12392,20.005130484450028,3.261125809180018,70.73978012755985,0,3,544,14
3125,6,10.0.0.80,10.0.0.252,78,11418,305,2046,891,5,66.01411674301364,4,TCP,30261,8656,28801,26.01337467104975,16.68866483694065,76.58767788714631,0,9,646,7
3126,8,10.0.0.202,10.0.0.172,178,18198,194,330,258,5,78.85993929674333,1,ICMP,14706,27818,43933,10.576525644560324,16.615791604268054,85.17625243333472,0,5,700,1
3127,4,10.0.0.192,10.0.0.184,210,37888,457,141,757,6,40.644570159272895,3,UDP,46328,37052,44781,47.128959131453975,45.0159022756401,66.08461377977166,1,0,859,20
3128,7,10.0.0.71,10.0.0.64,226,33604,492,1126,165,8,22.420425863155504,1,ICMP,19562,41490,3535,19.190170371385033,39.148398217422034,10.455223807045089,0,10,771,10
3129,6,10.0.0.111,10.0.0.184,63,30796,298,2451,337,10,66.0810427736464,5,TCP,42503,9244,43635,4.3311848339175345,9.101405309435023,46.78498488046861,1,6,58,19
3130,10,10.0.0.253,10.0.0.121,188,41783,355,589,407,9,80.93518293469829,1,ICMP,18443,44024,35300,42.34627901139183,10.451250906639,14.514777398368171,0,5,162,17
3131,1,10.0.0.138,10.0.0.129,18,40389,116,1827,926,3,35.33078785375742,2,TCP,30706,30378,37783,16.86954531191966,32.20019631977664,43.45889024914035,0,1,476,9
3132,7,10.0.0.115,10.0.0.111,431,14664,410,515,775,10,71.3566825146428,2,TCP,36235,19175,31498,42.00233496366269,32.067733100799344,90.93009599297822,0,9,482,10
3133,3,10.0.0.228,10.0.0.181,318,31743,121,3025,519,7,74.66745805258664,4,ICMP,61173,17409,8198,9.654500098842675,20.422896562812426,72.18587467914547,1,6,515,14
3134,6,10.0.0.97,10.0.0.202,346,22460,358,4354,104,5,52.37212120183498,5,UDP,64193,42516,12657,39.59524587038223,27.51657746184784,29.573998234404907,0,10,596,9
3135,6,10.0.0.139,10.0.0.227,473,28282,143,360,258,2,67.69332754413628,5,TCP,28006,31715,14489,35.84054181816477,49.29425935425989,96.37354485411862,0,8,568,16
3136,5,10.0.0.53,10.0.0.232,157,5538,274,1590,124,6,29.94430444689367,3,TCP,53948,9123,37292,40.55195396710413,6.390753116468343,31.783847382095626,0,7,515,5
3137,4,10.0.0.134,10.0.0.221,444,36773,78,3181,564,6,70.38926697709955,2,TCP,12286,28547,8170,10.924985685265007,44.402203629410785,67.76151306474357,0,6,158,12
3138,4,10.0.0.193,10.0.0.131,185,48539,326,1729,911,1,4.434896774615665,5,UDP,33272,48310,14758,6.795567420534611,11.426899112096628,84.67917463577726,0,1,105,1
3139,6,10.0.0.124,10.0.0.17,79,4886,291,193,673,3,97.00853613070795,1,ICMP,13065,13155,23083,6.586309204094255,4.991821016063554,51.86913723005118,1,6,213,9
3140,2,10.0.0.1,10.0.0.166,461,7191,231,2283,430,3,47.8782182611321,5,ICMP,23635,28532,38049,10.782108286452367,4.77949404980145,74.20398507313256,1,5,642,20
3141,6,10.0.0.232,10.0.0.202,108,29034,241,2267,721,3,83.35845932408608,5,ICMP,7455,34515,31244,39.3350872858761,15.473460248563054,83.67390799271959,1,5,416,11
3142,9,10.0.0.53,10.0.0.145,277,33044,68,2111,756,8,24.072794828962927,2,UDP,61809,37503,5631,39.11703955351547,31.12505179570496,40.609600127146415,0,1,247,11
3143,7,10.0.0.121,10.0.0.246,200,42183,235,2240,991,4,44.90821674396691,2,TCP,11432,27861,32432,37.622345928501495,28.69155792960912,29.72398673363468,1,2,809,14
3144,1,10.0.0.72,10.0.0.144,120,45049,53,4090,650,6,38.23043642141807,3,ICMP,27119,1743,46725,18.825627452314453,6.861502033563181,9.192310037577371,0,3,448,1
3145,5,10.0.0.139,10.0.0.3,158,29560,420,2625,759,4,21.556318241904417,1,ICMP,6810,35131,40026,8.271447961770868,15.57998091682472,77.06924987243282,0,5,688,7
3146,6,10.0.0.39,10.0.0.190,224,11988,203,1248,100,8,92.489012369504,1,ICMP,20930,3450,13264,49.71697204859242,46.72851202148304,36.47245970023124,0,10,892,1
3147,9,10.0.0.62,10.0.0.78,313,48411,423,4325,112,10,67.03361989326781,3,ICMP,63252,10114,40454,7.408468073875805,20.73002144288229,13.832068634590083,1,9,707,18
3148,8,10.0.0.56,10.0.0.196,404,45867,423,3854,878,4,42.7643719366629,3,TCP,49866,34034,2148,33.68601183646337,15.240630318993924,10.461178180865465,0,5,740,11
3149,2,10.0.0.146,10.0.0.9,237,31332,409,2147,656,5,14.276789258247142,5,UDP,8106,49811,34633,9.102680263266985,22.17372384136527,32.829381887522764,0,1,721,3
3150,7,10.0.0.136,10.0.0.125,333,13408,260,2070,418,6,95.89886158515948,5,TCP,32537,47472,16717,28.464699885846958,9.237094012344132,40.37359264267947,1,7,434,9
3151,10,10.0.0.60,10.0.0.160,442,20640,241,2901,595,8,73.75478079058698,2,UDP,1712,30338,5369,36.608625246051155,43.285230963470184,30.13532249818377,0,8,76,4
3152,8,10.0.0.76,10.0.0.196,365,38188,269,560,771,8,81.46776301639356,2,TCP,55114,48409,1648,21.900080355654868,1.1340673461503687,7.607059426501856,0,10,612,17
3153,1,10.0.0.244,10.0.0.107,494,18031,57,4060,992,9,63.3496969431142,1,TCP,3951,6097,46977,15.264044665546406,12.938955425632624,15.414080986344146,0,4,674,5
3154,2,10.0.0.66,10.0.0.126,500,19334,459,4975,604,5,68.38507022826025,4,UDP,57428,6797,26067,46.56920419731639,13.527126699835677,63.66594214453567,0,7,737,15
3155,7,10.0.0.46,10.0.0.214,400,17298,150,2961,412,9,24.77298873356914,1,ICMP,13027,15374,4160,38.834789650922836,19.48338246213963,90.69061079998689,0,0,95,15
3156,4,10.0.0.108,10.0.0.41,253,32826,202,1325,297,1,81.0157571211921,5,ICMP,38324,1584,49394,24.791270254431225,12.016018383054865,3.857969128595936,1,8,479,6
3157,6,10.0.0.59,10.0.0.138,18,3946,460,2146,703,7,12.82846191156638,5,UDP,6242,15160,27298,9.490687213506225,41.78137749709686,27.505226351776972,0,0,771,4
3158,9,10.0.0.69,10.0.0.121,476,28752,461,1051,382,10,92.86405073849181,1,UDP,27165,23972,34123,36.789324849174335,10.28967120835839,96.7575259571599,0,4,570,2
3159,7,10.0.0.211,10.0.0.124,34,7384,283,880,835,1,78.60472358409936,2,UDP,59829,21759,42419,15.087635903353917,1.644179616019171,42.352290805201314,1,2,654,2
3160,6,10.0.0.78,10.0.0.119,459,29249,465,2832,641,4,31.777335872651538,2,UDP,50619,30255,2232,28.94731927174491,27.128354587791158,72.90316681981922,1,8,223,11
3161,9,10.0.0.1,10.0.0.40,217,43172,433,1261,897,2,68.29431740246169,1,ICMP,22579,45194,40337,16.542076392047306,42.431960589680706,58.27817449907367,0,3,453,11
3162,7,10.0.0.20,10.0.0.217,302,43763,363,4926,808,4,8.704775532722735,3,TCP,49087,40183,43842,11.430674757485471,31.62067768081292,51.04140028107498,1,9,96,9
3163,8,10.0.0.103,10.0.0.162,43,25164,263,4506,827,10,4.336513116904502,4,TCP,23153,6222,38985,25.821347754145183,5.746230363185768,25.008160463724778,1,9,307,3
3164,5,10.0.0.176,10.0.0.60,13,42487,391,499,846,4,23.74454989195273,4,UDP,23369,20575,45076,49.960723553477095,29.708968270408352,67.10563626842543,1,2,893,18
3165,8,10.0.0.78,10.0.0.50,110,28754,331,684,711,8,68.0888271303838,5,UDP,55472,34773,20093,9.584650684964961,44.95680412790047,51.769215910890686,0,7,950,14
3166,1,10.0.0.168,10.0.0.36,229,23633,74,4507,208,6,16.04047955762097,5,TCP,22512,34313,25464,12.95846940464037,10.265360925063252,23.111491945217395,1,0,329,14
3167,3,10.0.0.87,10.0.0.5,78,4440,296,2356,215,1,97.03201095695071,1,TCP,37871,10086,12293,33.0126375911904,49.66107231316281,79.24430065445002,1,4,856,20
3168,10,10.0.0.218,10.0.0.13,239,49158,486,2332,876,9,76.92831414034295,3,TCP,39319,49216,27063,42.77328259239615,37.7480333785356,31.834429868757518,0,5,509,3
3169,2,10.0.0.245,10.0.0.63,101,38097,360,4433,588,4,27.147717501237175,5,TCP,58140,18325,28508,3.0305227523330753,30.15957471009136,69.02581697131521,1,3,967,15
3170,10,10.0.0.103,10.0.0.75,323,10398,498,3708,728,5,28.896982473565604,1,TCP,60465,36462,38107,44.57531202373057,7.879686356222003,90.92548564016374,0,7,631,15
3171,4,10.0.0.74,10.0.0.238,95,28714,310,4076,957,1,31.795181461075277,4,UDP,28137,31441,27672,49.53801311188707,17.594307342200565,44.11223968900334,1,7,692,20
3172,1,10.0.0.80,10.0.0.3,178,21797,444,925,652,2,4.711059844367149,2,TCP,57733,11102,16505,14.68073785240896,20.0744530395597,4.089016138795461,0,2,548,7
3173,3,10.0.0.36,10.0.0.202,404,41490,128,644,646,6,74.93288314074418,1,ICMP,6708,34347,30585,24.113033795388592,2.7069320087120765,30.18225303611429,0,1,346,15
3174,8,10.0.0.222,10.0.0.195,494,11897,326,2172,495,4,43.15034628990975,3,ICMP,48246,17767,32225,7.27257099691912,11.423966051321496,37.91885274205407,1,6,126,3
3175,2,10.0.0.214,10.0.0.198,479,30392,480,3074,198,4,10.658103850539318,3,TCP,24839,19392,15071,2.6997625233815152,28.183235912881376,76.34358465067069,0,7,550,16
3176,6,10.0.0.83,10.0.0.24,258,6216,198,4415,894,1,37.822025236649,5,TCP,46180,20166,27669,11.222464707631907,25.048968860565974,12.360532780838758,1,2,784,7
3177,1,10.0.0.139,10.0.0.93,497,41741,484,3098,629,1,92.36157636970998,1,UDP,56454,17922,26581,24.125907888876124,36.12156986464006,65.20081223880318,0,7,94,20
3178,4,10.0.0.239,10.0.0.71,74,8133,274,1796,835,10,47.89371742356614,4,ICMP,27607,43548,37616,32.53839503329792,4.173821607434753,55.35438160004363,1,2,529,9
3179,9,10.0.0.161,10.0.0.100,224,12466,247,1371,177,9,10.939231035100672,2,ICMP,46932,38096,45258,48.128944764425725,25.29777129513799,19.469121104559367,0,0,711,3
3180,6,10.0.0.232,10.0.0.33,224,9090,183,4676,507,5,45.79072908604765,1,UDP,58452,4230,14749,21.204690018685596,11.504983147532128,32.73956522050501,0,5,932,8
3181,10,10.0.0.56,10.0.0.49,209,2991,92,3013,263,4,8.493318165443302,4,ICMP,26356,5884,43716,9.383270906492879,48.611115651891936,18.62541083684391,0,3,310,11
3182,4,10.0.0.53,10.0.0.86,99,30603,350,345,656,9,23.01617289174448,4,UDP,42903,44856,37974,43.47105056984012,36.906554169171,38.30218071516817,0,5,280,12
3183,6,10.0.0.179,10.0.0.27,476,17607,179,1965,943,9,33.76123383377937,4,ICMP,46938,4945,29392,8.083063978577364,5.488586275226507,25.095124705345505,0,8,751,11
3184,10,10.0.0.42,10.0.0.80,81,30361,321,737,994,7,49.45901320584056,3,UDP,50454,31914,10584,2.982685530388939,46.76784757446375,37.51928187930015,0,3,800,7
3185,10,10.0.0.126,10.0.0.122,436,26770,256,1100,702,8,47.03704100605925,1,TCP,2574,30807,15044,45.92480098750847,32.184960794898146,81.49309754354906,1,5,441,4
3186,4,10.0.0.166,10.0.0.107,277,38502,295,762,420,3,32.986793796114185,3,UDP,31591,36925,47239,26.898795302506993,10.761123696751369,75.59584964885487,1,7,873,19
3187,6,10.0.0.210,10.0.0.94,306,40531,369,1618,359,9,82.11012849392819,4,UDP,4359,32566,34054,27.138763322320166,26.238692435969885,11.733573207832904,0,6,871,1
3188,5,10.0.0.254,10.0.0.250,398,36809,171,404,197,9,57.56493365630531,4,ICMP,27472,23076,48180,12.114961116792827,16.225556291949754,45.468790098494814,0,5,982,17
3189,2,10.0.0.137,10.0.0.202,110,26534,229,1802,825,3,34.9609788615619,3,ICMP,27643,27704,12068,23.995993856979748,48.822936978589404,21.591751598454557,1,0,702,11
3190,10,10.0.0.71,10.0.0.145,352,38039,109,2584,993,7,92.83975587710451,1,ICMP,58921,24614,49778,3.502383185534792,32.734239944071405,42.732834757334565,1,10,589,7
3191,5,10.0.0.187,10.0.0.31,332,16863,123,3201,203,1,33.64534055115484,4,TCP,27499,46282,49455,27.222596280280445,29.84695087111879,31.14834779634752,0,8,415,6
3192,3,10.0.0.235,10.0.0.225,314,21885,212,3095,671,8,46.028360651264556,2,TCP,45618,12542,47280,22.02915617535792,31.356954617626094,46.39173776098299,0,6,555,7
3193,5,10.0.0.95,10.0.0.110,469,39852,257,1943,414,6,79.62831446828434,4,TCP,63015,3546,48814,32.42984153616797,27.37377401252176,30.272521052919398,1,9,122,10
3194,10,10.0.0.40,10.0.0.235,117,12522,423,2309,538,3,15.583488106947229,1,TCP,63810,36005,18856,28.063920436614318,23.746378402041476,44.466392475679065,0,8,122,8
3195,3,10.0.0.166,10.0.0.117,308,13286,325,2703,650,3,59.358232751457095,3,TCP,12105,5920,30876,28.14038163744853,47.86443256537425,43.43991926163196,0,4,532,7
3196,9,10.0.0.150,10.0.0.60,359,49137,98,656,615,6,12.34914651665342,3,TCP,15605,8683,30286,42.084287823829136,39.098360468429696,7.829676376758845,1,9,473,10
3197,9,10.0.0.111,10.0.0.97,248,1827,451,4551,925,4,34.16050597724902,1,ICMP,10861,40110,41412,34.62627429208271,7.2295443813779885,34.36152243383865,0,2,405,13
3198,7,10.0.0.230,10.0.0.156,151,33158,394,3620,483,3,54.84488644989472,4,TCP,56031,1956,45228,20.846574640682675,29.43162550982095,54.522983432512625,0,2,417,5
3199,9,10.0.0.148,10.0.0.176,217,46480,112,609,928,3,55.95768906343101,1,UDP,43184,24855,30888,42.55725740772486,17.054412491879,98.36113726309225,1,7,704,8
3200,8,10.0.0.218,10.0.0.184,411,41081,421,2039,709,1,68.85990810106507,5,TCP,43833,9362,34748,8.610115321233303,41.831466958809756,39.78086031259897,0,3,252,10
3201,8,10.0.0.157,10.0.0.229,380,33508,270,3852,407,9,33.19474168529613,3,ICMP,30871,23577,12637,25.361059163400316,13.396524748023856,66.91532189384141,0,8,900,6
3202,3,10.0.0.243,10.0.0.32,277,27798,325,2210,969,8,76.09110920748317,4,UDP,31350,10133,31680,3.5241876463363866,2.119683437574828,56.37194628787679,0,2,467,4
3203,9,10.0.0.51,10.0.0.157,439,16222,484,3250,497,3,81.59035927827405,2,ICMP,30388,25538,14098,37.814806550399275,5.828812916579168,95.67621900186685,1,10,713,12
3204,1,10.0.0.30,10.0.0.26,294,42655,53,2670,535,8,17.68253855049386,3,TCP,41693,37806,28787,20.39156576706974,29.474047038469166,88.04145641914724,0,8,266,15
3205,7,10.0.0.3,10.0.0.91,490,40952,132,1842,838,2,98.34382930413744,1,ICMP,47053,25085,39362,18.746482978689926,47.59902918288304,48.92476765797758,0,10,619,15
3206,8,10.0.0.176,10.0.0.177,272,35982,191,2718,177,7,23.182365787499368,2,TCP,40941,18568,1359,38.98310135080021,41.255127451296836,35.47563926306817,0,7,221,14
3207,3,10.0.0.87,10.0.0.118,28,29961,122,4212,617,3,40.31154635364874,5,UDP,19320,14133,33121,16.921529785241624,23.305461763684896,20.702695017505558,0,6,112,17
3208,3,10.0.0.214,10.0.0.104,430,49152,282,3952,649,10,41.100255107937286,5,ICMP,41144,28536,46627,37.85929707128404,34.49944916097192,77.82135257906965,1,0,172,17
3209,1,10.0.0.60,10.0.0.137,258,45672,462,251,206,10,15.624764013094454,1,TCP,24101,2563,49679,30.48758493786089,34.786926836527606,11.972221753340737,1,4,716,7
3210,7,10.0.0.233,10.0.0.25,37,20210,364,1379,273,9,85.27596054513894,1,ICMP,53344,28630,8922,2.596832979076008,24.17331393005097,57.20837298978958,0,10,278,4
3211,1,10.0.0.98,10.0.0.61,390,4810,399,283,450,8,87.06564902879776,2,TCP,25986,41939,20303,14.847957618109023,38.216817795213416,35.267050922595345,1,9,971,9
3212,7,10.0.0.27,10.0.0.172,61,41048,446,2012,576,8,93.25367581024018,4,TCP,11377,42516,12458,21.93082998124766,40.940628977963925,26.892537727084136,0,8,144,5
3213,7,10.0.0.81,10.0.0.212,66,48904,353,562,326,3,18.614350828288377,4,UDP,61651,17612,24285,49.27644360591358,31.37995193587667,69.88098570183514,0,10,164,3
3214,10,10.0.0.46,10.0.0.173,353,10159,249,919,919,10,10.210594350369895,1,TCP,46566,21755,46465,42.06962304193734,34.0846967234832,64.50915890851647,1,1,863,6
3215,6,10.0.0.28,10.0.0.156,468,49943,403,2507,184,4,18.66570774010077,2,UDP,16296,37973,1796,25.917507339525127,36.51526565116413,44.57202670237254,1,1,886,14
3216,6,10.0.0.231,10.0.0.208,75,2097,419,2711,410,2,24.8184706486235,1,ICMP,34744,41764,35483,28.030850677974506,9.90108954095006,72.3313520395899,1,4,508,17
3217,9,10.0.0.120,10.0.0.195,462,16524,443,4975,450,4,76.2486304639251,1,ICMP,22673,48469,14301,23.512797181018357,41.38200007335681,59.70092033171853,0,4,129,16
3218,8,10.0.0.192,10.0.0.126,409,30775,158,893,541,9,69.95624565447385,3,ICMP,25131,30337,40526,45.17394937476767,25.9505072776111,7.727223598579879,0,9,72,6
